genero,nome,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,salario_bruto
F,CHRISTIANE DE SOUZA YARED,23/02/1960,330359.43999999994,23957.3,44324.43,35762.57,54189.41,41149.82,32246.76,23122.06,18987.0,15446.67,40295.66,877.76,0.0,1091077.2699999998,108772.44,108772.44,108772.44,108772.44,108366.22,104176.55,111586.94,111586.94,111586.94,108683.92,0.0,0.0,83,9,0,27,11,5,33763.0
F,CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,02/07/1982,297350.01,7971.69,16907.3,54747.61,49861.8,57969.92,53352.84,20869.99,15804.77,9631.78,10118.65,113.66,0.0,1112908.0699999998,110918.38,110319.03,110945.19,111532.21,111532.21,111532.21,111532.21,111532.21,111532.21,111532.21,0.0,0.0,86,6,6,37,14,14,33763.0
F,SHÉRIDAN ESTÉRFANY OLIVEIRA RAMOS,11/04/1984,403635.64,47717.67,50310.81,47454.5,20489.75,41030.4,35713.64,41489.54,36464.07,37465.47,41866.9,3632.89,0.0,1045548.64,104351.76,98699.47,100259.52,100363.57,99170.39,111192.45,104911.24,108772.24,109791.3,108036.7,0.0,0.0,53,39,4,0,3,3,33763.0
F,ROSANA DE OLIVEIRA VALLE,08/05/1969,337897.5,21183.33,29131.46,53484.17,52840.25,41134.85,34551.95,41195.46,30158.94,20867.06,13125.31,224.72,0.0,1050130.62,107098.26,107098.26,107098.26,107098.26,100284.96,91133.79,106579.32,107632.04,109901.08,106206.39,0.0,0.0,87,5,2,44,4,2,33763.0
F,SAMIA DE SOUZA BOMFIM,22/08/1989,320776.66000000003,29863.31,33173.07,52100.08,33373.57,49527.82,25800.86,31637.36,25034.27,10727.26,25539.06,4000.0,0.0,1089070.53,101425.05,108439.14,108239.71,106353.47,110257.66,110871.1,110871.1,110871.1,110871.1,110871.1,0.0,0.0,78,14,0,32,3,3,33763.0
F,ROSIANE MODESTO  DE OLIVEIRA,20/02/1978,201387.81,16532.25,28174.06,22572.8,28359.47,28108.83,26531.02,14867.91,6958.44,8464.46,17350.1,3468.47,0.0,1056422.1,109718.66,110767.63,111653.67,111653.67,109880.49,109891.34,111617.27,97483.92,90265.59,93489.86,0.0,0.0,77,15,6,0,4,4,33763.0
F,RENATA HELLMEISTER DE ABREU,15/04/1982,208238.75999999998,31109.86,32113.25,42089.94,31671.65,42896.72,3728.86,22911.39,1717.09,0.0,0.0,0.0,0.0,1073067.29,96622.36,104075.25,110440.45,106841.6,108188.68,109718.62,106018.07,110109.96,110476.84,110575.46,0.0,0.0,48,14,0,5,28,18,33763.0
F,ROSANGELA DE SOUZA GOMES,27/12/1966,326569.1400000001,35619.36,53038.08,41099.12,30910.68,40356.2,24832.33,27594.88,28932.93,13329.32,30667.03,189.21,0.0,1114958.7,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,0.0,0.0,77,15,0,2,0,0,33763.0
F,SILVIA CRISTINA AMANCIO CHAGAS,15/01/1974,325913.3900000001,38497.24,41381.49,41593.07,52095.78,77841.57,30489.93,21356.3,8189.34,4412.39,7253.38,2802.9,0.0,1112657.25,111374.48,110870.15,110767.11,111370.23,111247.85,111259.6,111526.12,111514.99,111410.91,111315.81,0.0,0.0,89,3,1,55,36,31,33763.0
F,TALIRIA PETRONE SOARES,09/04/1985,273733.18,35801.22,32189.96,31865.89,45403.28,29413.08,37323.98,24098.94,23355.39,10439.8,3279.24,562.4,0.0,1114287.26,111647.51,111647.51,111647.51,111555.29,111584.31,111647.53,111647.53,110216.76,111417.0,111276.31,0.0,0.0,76,16,2,27,51,32,33763.0
